0;10000;20000;
0;0;0;
nan;nan;5186;2016-04-19 17:53:31.042000
15964;nan;5191;2016-04-19 17:53:31.136000
15978;nan;5203;2016-04-19 17:53:31.245000
15990;nan;5182;2016-04-19 17:53:31.355000
15967;nan;5195;2016-04-19 17:53:31.464000
15975;nan;5173;2016-04-19 17:53:31.574000
15975;nan;5156;2016-04-19 17:53:31.683000
15976;nan;5185;2016-04-19 17:53:31.777000
nan;nan;5178;2016-04-19 17:53:31.870000
15963;nan;5199;2016-04-19 17:53:31.980000
16000;nan;5166;2016-04-19 17:53:32.089000
15967;nan;5173;2016-04-19 17:53:32.199000
15966;nan;5133;2016-04-19 17:53:32.308000
15995;nan;5141;2016-04-19 17:53:32.402000
15973;nan;5128;2016-04-19 17:53:32.495000
15999;nan;5176;2016-04-19 17:53:32.605000
15975;nan;5161;2016-04-19 17:53:32.714000
15977;nan;5157;2016-04-19 17:53:32.824000
15978;nan;5170;2016-04-19 17:53:32.933000
15972;nan;5133;2016-04-19 17:53:33.042000
15983;nan;5156;2016-04-19 17:53:33.136000
15967;nan;5155;2016-04-19 17:53:33.230000
15987;nan;5142;2016-04-19 17:53:33.339000
15995;nan;5136;2016-04-19 17:53:33.449000
15958;nan;5133;2016-04-19 17:53:33.558000
15976;nan;5136;2016-04-19 17:53:33.667000
15973;nan;5133;2016-04-19 17:53:33.777000
15967;nan;5129;2016-04-19 17:53:33.870000
15977;nan;5136;2016-04-19 17:53:33.980000
15967;nan;5151;2016-04-19 17:53:34.089000
15950;nan;5179;2016-04-19 17:53:34.199000
15952;nan;5178;2016-04-19 17:53:34.308000
15935;nan;nan;2016-04-19 17:53:34.417000
15916;nan;5450;2016-04-19 17:53:34.511000
15917;nan;5191;2016-04-19 17:53:34.605000
15876;nan;nan;2016-04-19 17:53:34.730000
15889;nan;nan;2016-04-19 17:53:34.839000
15879;nan;5440;2016-04-19 17:53:34.949000
15863;nan;5194;2016-04-19 17:53:35.058000
15831;nan;5246;2016-04-19 17:53:35.152000
15826;nan;5358;2016-04-19 17:53:35.245000
15845;nan;5360;2016-04-19 17:53:35.355000
15803;nan;5425;2016-04-19 17:53:35.464000
15813;nan;5399;2016-04-19 17:53:35.574000
15795;nan;5384;2016-04-19 17:53:35.683000
nan;nan;5387;2016-04-19 17:53:35.777000
15738;nan;5361;2016-04-19 17:53:35.870000
15772;nan;5439;2016-04-19 17:53:35.964000
15731;nan;5442;2016-04-19 17:53:36.074000
15717;nan;5509;2016-04-19 17:53:36.183000
15671;nan;5411;2016-04-19 17:53:36.292000
15651;nan;5412;2016-04-19 17:53:36.402000
15713;nan;5500;2016-04-19 17:53:36.511000
nan;nan;5495;2016-04-19 17:53:36.605000
15618;nan;5470;2016-04-19 17:53:36.714000
nan;nan;5503;2016-04-19 17:53:36.824000
15635;nan;5454;2016-04-19 17:53:36.933000
15611;nan;5433;2016-04-19 17:53:37.042000
15587;nan;5491;2016-04-19 17:53:37.152000
15627;6011;5472;2016-04-19 17:53:37.245000
15612;6067;5456;2016-04-19 17:53:37.339000
15551;5992;5503;2016-04-19 17:53:37.449000
15561;6036;5590;2016-04-19 17:53:37.558000
nan;5981;5579;2016-04-19 17:53:37.667000
15561;5928;5586;2016-04-19 17:53:37.777000
15518;nan;5581;2016-04-19 17:53:37.871000
15472;nan;5755;2016-04-19 17:53:37.964000
15475;nan;5766;2016-04-19 17:53:38.074000
nan;nan;5650;2016-04-19 17:53:38.183000
15433;nan;5752;2016-04-19 17:53:38.292000
15427;nan;6479;2016-04-19 17:53:38.402000
nan;nan;nan;2016-04-19 17:53:38.495000
15422;nan;nan;2016-04-19 17:53:38.589000
15387;nan;nan;2016-04-19 17:53:38.683000
nan;nan;nan;2016-04-19 17:53:38.792000
nan;nan;5897;2016-04-19 17:53:38.902000
nan;nan;nan;2016-04-19 17:53:39.011000
15368;nan;6220;2016-04-19 17:53:39.120000
15308;nan;nan;2016-04-19 17:53:39.230000
15237;nan;6028;2016-04-19 17:53:39.324000
15275;nan;6060;2016-04-19 17:53:39.417000
15259;nan;5969;2016-04-19 17:53:39.542000
15238;5686;5879;2016-04-19 17:53:39.652000
15192;5654;6286;2016-04-19 17:53:39.761000
15153;5663;5882;2016-04-19 17:53:39.871000
15136;5601;5943;2016-04-19 17:53:39.964000
15163;5622;5966;2016-04-19 17:53:40.058000
15102;nan;5946;2016-04-19 17:53:40.167000
15147;5587;nan;2016-04-19 17:53:40.277000
15107;5596;nan;2016-04-19 17:53:40.386000
15141;5599;nan;2016-04-19 17:53:40.496000
15118;nan;nan;2016-04-19 17:53:40.605000
15084;5589;6031;2016-04-19 17:53:40.699000
nan;5549;6003;2016-04-19 17:53:40.792000
15103;5503;6015;2016-04-19 17:53:40.917000
15043;5491;6047;2016-04-19 17:53:41.027000
15040;5467;5978;2016-04-19 17:53:41.136000
15034;5479;5995;2016-04-19 17:53:41.246000
15034;5442;6016;2016-04-19 17:53:41.339000
nan;nan;6409;2016-04-19 17:53:41.433000
14970;nan;6359;2016-04-19 17:53:41.542000
14971;nan;6626;2016-04-19 17:53:41.652000
14934;nan;nan;2016-04-19 17:53:41.761000
14942;nan;nan;2016-04-19 17:53:41.871000
14902;nan;6570;2016-04-19 17:53:41.980000
14888;nan;nan;2016-04-19 17:53:42.089000
14887;nan;nan;2016-04-19 17:53:42.199000
14814;nan;nan;2016-04-19 17:53:42.308000
14885;nan;nan;2016-04-19 17:53:42.417000
14848;5242;nan;2016-04-19 17:53:42.527000
14783;nan;6766;2016-04-19 17:53:42.636000
14835;5829;nan;2016-04-19 17:53:42.730000
