0;5000;10000;15000;
0;0;0;0;
14912;nan;5193;2549;2016-04-19 17:42:09.266000
14910;nan;5212;2560;2016-04-19 17:42:09.407000
14898;nan;5186;2528;2016-04-19 17:42:09.532000
14929;nan;5230;2576;2016-04-19 17:42:09.657000
14919;nan;5212;2548;2016-04-19 17:42:09.782000
14902;nan;5235;2564;2016-04-19 17:42:09.891000
nan;nan;5233;2614;2016-04-19 17:42:10.016000
14814;nan;5269;2579;2016-04-19 17:42:10.141000
14819;nan;5284;2573;2016-04-19 17:42:10.266000
nan;nan;5269;2512;2016-04-19 17:42:10.391000
14838;nan;5229;2485;2016-04-19 17:42:10.501000
14834;nan;5210;2535;2016-04-19 17:42:10.610000
14893;nan;5201;2494;2016-04-19 17:42:10.735000
14882;nan;5182;2509;2016-04-19 17:42:10.860000
14858;nan;5208;2537;2016-04-19 17:42:10.985000
14753;nan;5272;2564;2016-04-19 17:42:11.110000
14857;nan;5234;2560;2016-04-19 17:42:11.235000
nan;nan;5199;2516;2016-04-19 17:42:11.345000
14843;nan;5202;2555;2016-04-19 17:42:11.485000
14792;nan;5194;2564;2016-04-19 17:42:11.610000
14839;nan;5215;2571;2016-04-19 17:42:11.735000
14815;nan;5202;2560;2016-04-19 17:42:11.860000
14842;nan;5214;2546;2016-04-19 17:42:11.985000
nan;nan;5133;2579;2016-04-19 17:42:12.110000
14788;nan;5152;2513;2016-04-19 17:42:12.235000
14794;nan;5167;2518;2016-04-19 17:42:12.360000
14788;nan;5136;2598;2016-04-19 17:42:12.485000
14796;nan;5141;2508;2016-04-19 17:42:12.595000
14809;nan;5137;2495;2016-04-19 17:42:12.704000
14724;nan;5182;2565;2016-04-19 17:42:12.845000
14751;nan;5292;2517;2016-04-19 17:42:12.970000
14725;nan;5254;2521;2016-04-19 17:42:13.095000
14764;nan;5222;2500;2016-04-19 17:42:13.220000
14763;nan;nan;2501;2016-04-19 17:42:13.329000
14750;nan;5220;2524;2016-04-19 17:42:13.454000
14806;nan;5150;2524;2016-04-19 17:42:13.579000
14780;nan;5165;2477;2016-04-19 17:42:13.704000
14819;nan;5060;2517;2016-04-19 17:42:13.829000
14804;nan;5124;2478;2016-04-19 17:42:13.954000
14773;nan;5151;2572;2016-04-19 17:42:14.063000
14724;nan;5233;2513;2016-04-19 17:42:14.188000
14763;nan;5171;2516;2016-04-19 17:42:14.313000
14800;nan;5151;2554;2016-04-19 17:42:14.438000
14780;nan;5174;2547;2016-04-19 17:42:14.563000
14779;nan;5173;2549;2016-04-19 17:42:14.673000
14759;nan;5210;2517;2016-04-19 17:42:14.798000
14768;nan;5198;2558;2016-04-19 17:42:14.923000
14719;nan;5234;2571;2016-04-19 17:42:15.048000
14721;nan;5225;2535;2016-04-19 17:42:15.173000
14737;nan;nan;2543;2016-04-19 17:42:15.282000
14738;nan;5205;2527;2016-04-19 17:42:15.391000
14732;nan;5170;2541;2016-04-19 17:42:15.516000
14736;nan;5228;2553;2016-04-19 17:42:15.641000
14720;nan;5201;2499;2016-04-19 17:42:15.766000
14705;nan;5224;2493;2016-04-19 17:42:15.891000
14722;nan;5244;2529;2016-04-19 17:42:16.001000
14698;nan;5252;2529;2016-04-19 17:42:16.110000
14707;nan;5202;2536;2016-04-19 17:42:16.235000
14719;nan;5214;2544;2016-04-19 17:42:16.360000
14709;nan;5199;2533;2016-04-19 17:42:16.485000
14704;nan;5187;2525;2016-04-19 17:42:16.610000
14677;nan;5228;2502;2016-04-19 17:42:16.720000
14709;nan;5221;2534;2016-04-19 17:42:16.845000
nan;nan;5202;2520;2016-04-19 17:42:16.970000
14710;nan;5206;2549;2016-04-19 17:42:17.095000
nan;nan;5196;2503;2016-04-19 17:42:17.204000
nan;nan;5176;2498;2016-04-19 17:42:17.313000
14728;nan;5233;2527;2016-04-19 17:42:17.423000
14687;nan;5238;2550;2016-04-19 17:42:17.548000
14684;nan;5215;2520;2016-04-19 17:42:17.673000
14685;nan;5228;2541;2016-04-19 17:42:17.798000
14714;nan;5184;2527;2016-04-19 17:42:17.923000
14688;nan;5194;2553;2016-04-19 17:42:18.048000
14723;nan;5219;2503;2016-04-19 17:42:18.157000
14736;nan;5176;2534;2016-04-19 17:42:18.282000
14751;nan;5192;2510;2016-04-19 17:42:18.407000
14788;nan;5179;2503;2016-04-19 17:42:18.532000
14764;nan;5232;2581;2016-04-19 17:42:18.657000
14734;nan;5192;2527;2016-04-19 17:42:18.767000
14701;nan;5120;2586;2016-04-19 17:42:18.876000
14738;nan;5419;2607;2016-04-19 17:42:19.017000
14709;nan;5710;2516;2016-04-19 17:42:19.142000
14746;nan;5206;2562;2016-04-19 17:42:19.267000
14729;nan;5118;2554;2016-04-19 17:42:19.392000
14744;nan;5038;2678;2016-04-19 17:42:19.501000
14751;nan;5134;2614;2016-04-19 17:42:19.626000
14718;nan;5136;2596;2016-04-19 17:42:19.751000
14697;nan;5114;2586;2016-04-19 17:42:19.876000
14705;nan;5101;2589;2016-04-19 17:42:20.001000
14689;nan;5105;2864;2016-04-19 17:42:20.110000
14668;nan;5116;2630;2016-04-19 17:42:20.220000
14661;nan;nan;2604;2016-04-19 17:42:20.345000
14622;9707;5038;2604;2016-04-19 17:42:20.470000
14630;9689;5082;2618;2016-04-19 17:42:20.595000
14605;nan;5043;2569;2016-04-19 17:42:20.720000
nan;9669;5085;2744;2016-04-19 17:42:20.829000
14605;nan;5079;2673;2016-04-19 17:42:20.954000
14559;9651;5029;2696;2016-04-19 17:42:21.079000
14572;9609;5005;2595;2016-04-19 17:42:21.204000
14545;9619;4972;2595;2016-04-19 17:42:21.329000
14558;9606;4946;2565;2016-04-19 17:42:21.454000
14545;9582;4901;2580;2016-04-19 17:42:21.579000
14490;9582;4928;2500;2016-04-19 17:42:21.704000
14523;9582;4889;2562;2016-04-19 17:42:21.829000
14449;9550;4913;2629;2016-04-19 17:42:21.954000
14420;9582;4910;2516;2016-04-19 17:42:22.079000
nan;9508;4904;nan;2016-04-19 17:42:22.188000
nan;9496;4821;2642;2016-04-19 17:42:22.298000
nan;9436;4857;2667;2016-04-19 17:42:22.438000
14371;9396;4872;2882;2016-04-19 17:42:22.563000
14374;9411;4848;nan;2016-04-19 17:42:22.688000
14362;9415;4798;2557;2016-04-19 17:42:22.813000
14396;9426;4777;2614;2016-04-19 17:42:22.923000
14316;nan;4745;2691;2016-04-19 17:42:23.048000
14317;nan;4777;nan;2016-04-19 17:42:23.173000
14292;nan;4734;2628;2016-04-19 17:42:23.298000
14230;nan;4728;2717;2016-04-19 17:42:23.423000
14282;nan;4713;2681;2016-04-19 17:42:23.548000
14269;nan;4725;2668;2016-04-19 17:42:23.657000
14243;nan;4746;2683;2016-04-19 17:42:23.798000
14229;nan;4692;2740;2016-04-19 17:42:23.923000
14193;nan;4646;2685;2016-04-19 17:42:24.048000
14197;nan;4669;2695;2016-04-19 17:42:24.173000
14169;nan;4681;2682;2016-04-19 17:42:24.282000
14130;nan;4639;2712;2016-04-19 17:42:24.407000
14111;nan;4671;2732;2016-04-19 17:42:24.532000
14100;nan;4606;2727;2016-04-19 17:42:24.657000
14126;nan;4608;2704;2016-04-19 17:42:24.782000
14069;nan;4546;2650;2016-04-19 17:42:24.892000
14107;nan;4522;2715;2016-04-19 17:42:25.001000
14079;nan;4548;2673;2016-04-19 17:42:25.142000
14093;nan;4465;nan;2016-04-19 17:42:25.267000
13997;nan;4488;2738;2016-04-19 17:42:25.392000
14041;nan;4521;2749;2016-04-19 17:42:25.517000
13988;nan;4489;2751;2016-04-19 17:42:25.626000
13993;nan;4470;2701;2016-04-19 17:42:25.751000
13926;9107;4438;2779;2016-04-19 17:42:25.876000
13909;9065;4441;2764;2016-04-19 17:42:26.001000
13928;9084;4378;3216;2016-04-19 17:42:26.126000
13892;nan;4368;2814;2016-04-19 17:42:26.235000
13895;nan;4385;2722;2016-04-19 17:42:26.345000
13864;nan;4342;2751;2016-04-19 17:42:26.470000
13914;nan;4336;2786;2016-04-19 17:42:26.595000
13869;nan;4331;nan;2016-04-19 17:42:26.720000
13826;nan;4337;3054;2016-04-19 17:42:26.845000
13883;nan;4389;2852;2016-04-19 17:42:26.954000
13817;nan;4342;2885;2016-04-19 17:42:27.063000
nan;nan;4337;2830;2016-04-19 17:42:27.188000
