0;2500;5000;7500;10000;12500;15000;17500;20000;22500;
0;0;0;0;0;0;0;0;0;0;
1841;3880;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:40.683000
nan;3898;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:40.843000
nan;3962;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:41.002000
1941;3935;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:41.162000
1904;3970;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:41.338000
1920;4006;6765;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:41.546000
1903;3972;6712;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:41.722000
1880;3916;6689;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:41.930000
1892;3950;6721;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:42.106000
1858;nan;6651;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:42.314000
1848;nan;6642;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:42.473000
1855;nan;6646;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:42.633000
1854;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:42.793000
1836;nan;6666;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:42.969000
1836;3905;6698;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:43.177000
1886;3925;6720;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:43.337000
1899;nan;6724;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:43.513000
1926;nan;6698;9464;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:43.737000
1871;nan;6729;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:43.945000
1837;3959;6681;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:44.121000
1851;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:44.329000
1863;3971;6650;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:44.505000
1834;3981;nan;9899;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:44.729000
1922;nan;nan;9966;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:44.953000
1928;3973;6665;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:45.177000
1871;3953;nan;9844;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:45.401000
nan;3921;6657;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:45.624000
1956;3943;6687;nan;11585;nan;nan;nan;nan;nan;2016-03-12 10:16:45.832000
1920;3937;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:46.008000
1770;3888;6669;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:46.216000
1877;3852;6646;10029;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:46.392000
1927;3956;6647;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:46.616000
1938;nan;6687;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:46.856000
1897;3871;6715;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:47.064000
1793;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:47.287000
1872;nan;6588;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:47.511000
1841;3917;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:47.735000
1871;3939;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:47.959000
1875;3909;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:48.183000
1891;3846;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:48.406000
1905;3858;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:48.631000
1908;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:16:48.854000
