0;5000;10000;15000;20000;25000;30000;35000;40000;45000;
0;0;0;0;0;0;0;0;0;0;
1895;nan;nan;16442;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:08.979000
1860;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:09.154000
1871;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:09.379000
1864;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:09.602000
1860;nan;nan;16461;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:09.810000
1917;nan;11734;16453;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:09.970000
1896;nan;11731;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:10.130000
1826;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:10.290000
1837;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:10.466000
1890;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:10.674000
1862;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:10.834000
1903;6555;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:10.994000
1904;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:11.153000
1873;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:11.313000
1832;nan;11692;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:11.473000
1886;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:11.633000
1858;nan;11688;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:11.809000
1871;nan;11729;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:12.033000
1859;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:12.257000
1860;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:12.481000
1895;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:12.704000
1865;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:12.928000
