nan;nan;nan;316;
nan;nan;2547;296;
nan;nan;2720;275;
nan;nan;nan;277;
5537;3286;nan;276;
5538;3338;2631;270;
nan;nan;2675;269;
5522;nan;2781;267;
nan;3339;2918;265;
5507;3303;3056;261;
5497;3280;nan;257;
5484;3268;nan;259;
nan;nan;nan;257;
5476;3248;nan;260;
5463;3227;nan;261;
nan;nan;nan;260;
5450;3201;2941;262;
nan;3179;2852;262;
5438;3164;2776;265;
5426;3151;2720;267;
5416;3135;2699;270;
5409;3120;2686;277;
nan;3105;2656;286;
nan;3090;nan;290;
nan;3080;nan;300;
nan;3066;2613;nan;
nan;3054;2573;318;
5390;3043;nan;330;
5373;3016;nan;344;
5356;2985;2525;364;
nan;2957;nan;379;
nan;2931;2486;405;
5336;2905;2447;420;
5320;2880;2414;nan;
nan;nan;2376;510;
5301;2852;2326;nan;
5283;2827;2302;609;
5256;2808;2274;738;
nan;2788;2217;nan;
5229;2765;2129;nan;
nan;2740;2017;776;
5199;2720;nan;887;
nan;2696;1988;1000;
nan;2673;1962;1117;
5185;2652;1935;nan;
nan;2628;1903;nan;
nan;2605;1868;1224;
nan;2582;nan;1328;
nan;2559;1837;nan;
nan;2540;nan;1437;
nan;nan;1823;nan;
nan;2516;1846;nan;
nan;2491;nan;nan;
nan;2473;nan;nan;
nan;2452;nan;1551;
nan;2428;nan;nan;
nan;2413;1918;1666;
5140;2396;nan;nan;
5094;2378;nan;nan;
5045;2358;nan;nan;
4998;2338;nan;1735;
4955;2318;nan;nan;
4909;2299;nan;1845;
4864;2287;1900;1887;
4817;2269;1870;nan;
nan;2247;1846;1997;
4769;2224;1817;2104;
4728;2208;1783;2216;
4685;nan;1753;2314;
4643;2185;nan;2419;
4600;nan;1729;2416;
4558;2168;nan;2428;
4521;2144;1697;2421;
4484;nan;1675;2497;
4444;2126;1668;2512;
4401;2106;1706;2460;
4363;2082;nan;2397;
4309;2059;nan;nan;
4285;2034;1689;2348;
4265;2004;1659;2379;
4245;1980;nan;2375;
4224;1950;nan;nan;
4200;1924;1627;2325;
4181;1902;1598;2336;
4157;1881;1556;2397;
4136;1854;1510;nan;
4114;1839;1463;nan;
4095;nan;nan;2415;
4078;1815;1382;2511;
4060;nan;1254;2530;
4044;1789;1224;nan;
nan;nan;1205;2541;
4026;1762;1184;2552;
4004;1729;1167;nan;
3982;1698;1155;nan;
3962;1664;1127;2578;
3938;1635;1089;2592;
nan;1604;1050;nan;
3916;1577;nan;nan;
nan;1554;nan;nan;
3891;1573;1003;nan;
3869;1560;950;2653;
nan;1536;866;2689;
nan;1514;nan;2715;
nan;1494;844;2731;
nan;nan;830;nan;
nan;nan;819;2755;
nan;1467;806;2852;
nan;1439;796;2953;
nan;1423;776;nan;
nan;nan;754;nan;
nan;1400;737;nan;
nan;1355;721;nan;
nan;nan;709;nan;
nan;nan;693;nan;
nan;1327;677;3053;
3835;1302;661;nan;
3799;1275;646;nan;
nan;nan;642;nan;
nan;1252;636;nan;
3771;1230;627;nan;
nan;1217;623;nan;
3737;1197;618;3083;
3697;1175;620;nan;
nan;1153;608;3142;
3662;1129;608;nan;
3644;1060;607;nan;
nan;1026;605;nan;
3609;1003;604;nan;
3568;978;601;nan;
3524;950;604;nan;
nan;928;611;nan;
3479;902;623;nan;
nan;865;625;nan;
3435;837;631;3242;
3390;817;644;nan;
nan;793;653;nan;
3344;772;663;nan;
3304;749;666;3243;
3262;729;676;nan;
3219;709;677;nan;
3174;679;686;nan;
3137;656;698;3239;
3096;631;699;nan;
3063;608;712;3238;
nan;584;716;3219;
3034;564;723;nan;
2997;545;734;3218;
2962;526;747;3216;
2932;506;762;nan;
2906;487;773;3217;
2861;468;785;nan;
2832;nan;795;nan;
2806;451;813;nan;
2785;429;830;nan;
2765;413;857;nan;
2742;392;894;nan;
2722;374;908;nan;
2707;353;926;nan;
2686;341;933;nan;
2664;322;957;nan;
2649;304;974;nan;
2624;290;990;nan;
2596;273;1004;nan;
2570;259;1022;nan;
2549;242;1047;nan;
2526;227;1064;3335;
2505;213;1085;nan;
2486;198;1105;nan;
2467;183;1121;nan;
2446;170;1136;nan;
2421;161;nan;nan;
2396;151;1160;nan;
2373;144;1188;nan;
2348;143;1213;nan;
nan;139;1237;3461;
2321;141;1266;nan;
2297;140;1271;nan;
2273;145;nan;nan;
nan;147;1290;nan;
2261;153;1308;nan;
2242;161;1338;nan;
2225;168;1358;nan;
2200;176;1377;nan;
2187;183;1405;nan;
2172;195;1441;nan;
2151;210;1470;nan;
2134;225;1492;nan;
2114;242;nan;nan;
2093;261;1525;nan;
2067;276;1544;nan;
2045;295;1564;nan;
2023;318;1605;nan;
1999;nan;1635;nan;
1981;336;1659;nan;
1960;353;1678;nan;
1941;374;1712;nan;
1926;389;nan;nan;
1909;408;1733;nan;
1890;421;1732;nan;
1851;445;1749;nan;
1822;461;1778;nan;
1792;487;1811;nan;
1768;507;nan;nan;
1746;532;1843;3502;
1721;nan;1876;nan;
1701;551;1909;nan;
nan;577;1932;nan;
1674;602;1962;nan;
1644;622;1985;nan;
1619;644;2000;nan;
1606;663;2013;nan;
1586;689;2038;nan;
1562;710;2062;nan;
1542;731;2078;nan;
1515;753;2109;nan;
1490;777;2142;nan;
1469;798;2162;nan;
1445;822;2171;nan;
1426;851;2191;nan;
1407;885;2215;nan;
1385;nan;2235;nan;
1362;900;2252;nan;
1342;926;nan;nan;
1318;945;nan;nan;
1294;973;2269;nan;
1266;995;2278;nan;
1250;1030;2289;nan;
1236;1052;2307;nan;
1223;1082;2325;nan;
1204;1116;2338;nan;
1187;1141;2367;nan;
1168;1164;2405;nan;
1146;nan;2450;nan;
1128;1207;nan;nan;
1118;1247;nan;nan;
1099;1293;nan;nan;
1081;1322;nan;nan;
1067;1346;2479;nan;
1044;1379;nan;nan;
1023;nan;2521;nan;
1005;nan;2561;nan;
988;1397;2593;nan;
973;1416;2612;nan;
958;1437;2642;nan;
946;nan;2668;nan;
937;nan;2694;nan;
915;1465;2719;nan;
891;nan;2743;nan;
872;1487;2765;nan;
850;nan;2788;nan;
823;nan;2810;nan;
804;nan;2831;nan;
785;nan;nan;nan;
768;nan;nan;nan;
746;nan;2853;nan;
732;1540;2875;nan;
709;nan;2890;nan;
688;nan;nan;nan;
668;nan;2901;nan;
652;nan;2914;nan;
639;nan;2921;nan;
622;nan;2940;nan;
603;1574;nan;nan;
584;1610;nan;nan;
566;1651;2944;nan;
545;1695;2947;nan;
530;nan;2950;nan;
514;1734;2965;nan;
499;1770;2980;nan;
487;1808;2998;nan;
475;nan;3022;nan;
458;1861;3044;nan;
446;1899;3066;nan;
430;1949;3088;nan;
417;nan;3112;nan;
401;1977;3138;nan;
391;nan;3165;nan;
375;nan;nan;nan;
366;nan;3187;nan;
352;nan;3216;nan;
341;nan;3242;nan;
331;nan;nan;nan;
323;nan;nan;nan;
315;2023;nan;nan;
304;2069;nan;nan;
296;2108;nan;nan;
285;2161;3271;nan;
279;nan;nan;nan;
272;nan;3292;nan;
268;2212;3310;nan;
265;2264;3329;nan;
264;2311;3353;nan;
263;2356;3374;nan;
260;2365;3396;
