11725;11788;9833;7792;5839;4160;2230;0;
11736;11792;9852;7793;5842;4163;2214;0;
11731;11785;9849;7794;nan;4152;2220;0;
11723;11776;9856;7795;nan;4152;2245;0;
11725;11773;9846;7796;5845;4145;2234;0;
11719;11770;9840;7790;6057;4139;2212;0;
nan;11768;9833;7786;nan;4138;2197;0;
11710;11766;9826;7790;6011;4128;2193;0;
11700;11760;9820;7788;5982;4122;2177;0;
11691;11755;9809;7779;5995;4113;2173;0;
11683;11742;9801;7771;nan;4101;2165;6;
11669;11728;9790;7761;5966;4086;2144;17;
11648;11714;nan;7745;5936;4065;2121;26;
11632;nan;9769;7729;5917;4047;2086;26;
11616;11700;9748;7708;5882;4030;2057;62;
11593;11678;9729;7687;5858;4007;2037;100;
11568;11654;9708;7659;5826;3981;2010;138;
11540;11621;9687;7625;5706;3957;1976;180;
11516;11589;9665;7596;5671;3932;1946;203;
11492;11558;9641;7572;5627;3911;1909;235;
11467;11524;9620;7546;5556;3885;1873;267;
11440;11488;9592;7516;5518;3855;1847;295;
11417;11453;9559;7489;5485;3831;1809;330;
11388;11420;9538;7465;5442;3803;1772;384;
11358;11389;9512;7439;5421;3777;1746;404;
11328;11360;nan;7413;5387;3757;1718;420;
11304;11330;9490;7389;5360;3733;1684;432;
11283;11305;9459;7368;5331;3708;1646;446;
11256;11275;9429;7337;5299;3681;1614;479;
11231;11253;9400;7315;5272;3656;1577;511;
11203;11226;9383;7289;5246;3631;1549;535;
11179;11199;9354;7267;5216;3605;1517;549;
11155;11168;nan;7239;5188;3584;1491;565;
11129;11137;9328;7204;5157;3560;1463;573;
11100;11102;9300;7180;5130;3529;1437;596;
nan;11065;9268;7159;5100;3493;1409;620;
11071;11034;9236;7137;5071;3467;1386;654;
11040;11001;9201;7107;5038;3446;1364;690;
11008;10970;9170;7083;5010;3419;1344;776;
10978;10938;9145;7053;4980;3390;1328;802;
10945;10916;9112;7022;4951;3358;1291;831;
10913;10894;9068;6994;4916;3322;1264;886;
10877;10868;9036;6977;4878;3284;1240;950;
10841;10845;9008;6956;4840;3247;1221;1002;
10807;10824;nan;6927;4805;3216;1192;1034;
10778;10799;nan;6900;4774;3190;1169;1109;
10749;10773;8969;6880;4739;3159;1141;nan;
10722;10746;8931;6861;4707;3119;1117;1226;
10693;10721;8891;6854;4677;3087;1085;1264;
nan;nan;8856;6836;4644;3053;1053;1247;
10659;10693;8830;nan;4612;3022;1030;1284;
10629;10651;nan;6818;4590;2996;995;1325;
10600;10618;nan;6841;4566;2968;965;1354;
10566;10588;nan;6816;4549;2947;932;1356;
10533;10552;8783;6793;4531;2920;900;1384;
10504;10520;nan;6794;4510;2885;851;1419;
10471;10490;nan;6769;4487;2854;817;1425;
10440;10462;nan;6736;4465;2829;787;1387;
10405;10430;nan;6707;4435;2797;748;1433;
10374;nan;nan;6655;4408;2769;711;1477;
10346;10391;8727;6614;4382;2744;672;1517;
10314;10356;8673;6582;4354;2718;645;1535;
10284;10342;8619;6503;4330;2702;627;1569;
10257;nan;8556;6463;4300;2675;591;1613;
10235;10310;8500;6423;4263;2649;564;1643;
10204;10278;8452;6364;4223;2625;549;1680;
10179;10247;8404;6329;4193;2600;531;1699;
10152;10213;8364;6297;4161;2577;506;1716;
10125;10181;8310;nan;4137;2562;490;1734;
10100;10143;8271;6293;4111;2530;472;1768;
10077;10111;8250;6257;4084;2503;452;1830;
10048;10083;8231;nan;4056;2477;416;1882;
10019;10045;nan;6225;4022;2441;383;1911;
9990;9996;nan;6189;3988;2408;365;1938;
9956;9961;nan;6151;3960;2379;346;1960;
9930;9933;8211;6117;3935;2348;314;1979;
9901;9902;8193;6080;3905;2317;284;2006;
9873;9874;8150;6043;3876;2281;250;2030;
9845;9846;8104;6006;3843;2240;228;2042;
9816;9820;nan;5967;3815;2201;204;2068;
9787;9796;8059;5899;3784;2167;185;2069;
9761;9768;nan;5871;3754;2133;174;2099;
9733;9738;7997;5841;3724;2099;146;2124;
9703;9713;7945;5804;3704;2069;120;2147;
9682;9678;nan;5773;3682;2031;96;2178;
9653;9643;7894;5745;3653;2004;86;2200;
9620;9614;nan;5712;3621;1971;76;2238;
9595;9580;7842;5684;3592;1945;71;2281;
9561;9550;nan;5658;3562;1918;57;2315;
nan;9521;nan;5629;3531;1895;49;2333;
nan;9489;7775;5601;3506;1859;51;2355;
9524;9458;nan;5575;3478;1832;63;nan;
9485;9431;7750;5547;3446;1799;70;2367;
9451;9406;nan;5517;3416;1761;83;2399;
nan;nan;7676;5493;3392;1735;97;2431;
9416;9382;7628;5456;3446;nan;115;2464;
9383;9362;7590;5437;3431;1692;134;2501;
nan;9335;7549;5407;nan;1652;157;2525;
nan;9307;nan;5378;3438;1618;186;2549;
9344;9276;nan;5349;nan;1579;200;2585;
9305;nan;nan;5316;3415;1552;226;2665;
9270;9244;7519;5290;3395;1524;247;2722;
9224;9204;nan;5259;3364;1491;282;2775;
9188;9170;7488;5231;3332;1461;307;2827;
9156;9139;7455;nan;3303;1440;342;2872;
9126;9110;nan;5190;3266;1410;372;2911;
nan;9083;7427;5153;3222;1392;392;2950;
9091;9047;nan;5113;3106;1362;422;3015;
9058;9012;7398;5077;3063;1328;456;nan;
9022;8972;7323;5037;2998;1303;500;3052;
8983;8935;nan;5001;2957;1274;527;3093;
8945;8900;7279;4968;2917;1245;566;3084;
8904;8874;7240;4930;2877;1213;587;3184;
8868;8848;nan;4894;2840;1190;622;3191;
8832;nan;7199;4858;2799;1163;643;3231;
nan;8819;7149;4828;2763;1128;664;3242;
8795;8778;7100;4807;2727;1093;694;nan;
nan;8749;7055;4780;2692;1066;730;nan;
8750;8709;7001;4749;2658;1035;759;nan;
8713;8682;6946;4722;2620;1004;796;nan;
8673;8658;6901;4691;2587;970;823;3418;
8636;8625;6863;4662;2554;941;848;3473;
8601;8590;6840;4631;2526;910;885;3481;
8570;8556;6818;4598;2497;878;918;3528;
8537;8515;6794;4567;2475;841;957;nan;
8504;8476;6785;4537;2446;810;997;3563;
8472;8454;6779;4500;2425;783;1048;nan;
8445;8421;6757;4470;2402;758;1076;nan;
8421;8388;6738;4446;2375;729;1108;3671;
8390;8356;6718;4419;2347;699;1140;3633;
8361;8334;6691;4386;2320;667;1170;3688;
8335;8309;6660;4358;2294;635;1199;3834;
8310;8283;6633;4330;2267;605;1237;nan;
8285;8257;6604;4302;2246;574;1271;nan;
8265;8239;6571;4275;2227;542;1296;3981;
8244;8216;6531;4251;2204;518;1321;3894;
8216;8181;6492;4226;2173;485;1348;3922;
8184;8155;nan;4197;2146;454;1375;3953;
8152;8119;6451;4165;2119;426;1404;nan;
nan;8079;nan;4134;2095;401;1433;nan;
8130;8036;6414;4105;nan;377;1467;nan;
8101;8004;6381;4076;2067;349;1501;3971;
nan;7979;6339;4046;2028;326;1524;4009;
8084;7950;6311;4014;1997;297;1554;3972;
8053;nan;nan;3984;1962;nan;1589;3994;
nan;7916;nan;3954;1926;267;1625;nan;
8019;7883;6286;3928;1891;230;1646;4032;
7978;7844;6259;3901;nan;208;1677;3933;
nan;7820;6219;3871;1854;177;1705;3879;
7933;7794;6189;3842;1820;150;1727;3893;
7907;7772;6159;3817;1784;124;1760;3915;
7876;7739;6140;3792;1746;102;1788;3951;
nan;7715;nan;3763;1710;86;1815;3985;
7848;7679;nan;3742;1680;68;1834;nan;
7815;7651;6108;3719;1650;62;1858;nan;
7788;7623;6075;3692;1619;64;1886;4020;
7748;7587;6045;3669;1590;68;1917;4067;
7718;7558;6003;3639;1555;68;1943;4143;
7683;7516;nan;3613;1525;84;1980;nan;
7659;7506;5954;3585;1493;101;2012;4213;
nan;7510;5897;3559;1469;135;2032;4284;
7651;nan;5857;3528;1445;206;2064;nan;
