0;103;1986;3842;nan;7658;9428;11642;
6;113;1926;3847;6723;7693;9455;11647;
0;99;1910;3861;6831;7708;9437;11668;
3;104;1904;3879;6673;7699;9392;11623;
0;53;1972;3866;nan;7611;9401;11640;
0;54;1946;3843;nan;7585;9405;11626;
25;89;1945;3806;6669;7625;9404;11603;
19;111;1891;3807;6047;7577;9401;11585;
30;93;1846;3765;6042;7570;9310;11611;
43;133;1725;3772;nan;7565;9313;11577;
79;111;1841;3811;nan;7585;9303;11489;
126;144;1799;3737;6015;7551;9305;11463;
49;194;1633;3725;5966;7550;9301;11374;
0;126;1602;3731;nan;7547;9239;11420;
169;176;1653;3677;nan;7528;9180;11356;
121;148;1693;3661;6152;7528;9195;11399;
322;202;1722;3668;5949;7536;9157;11413;
275;195;1584;3619;5883;nan;9221;11368;
415;234;1664;3630;6012;nan;9179;11370;
276;335;1686;3647;6134;nan;nan;11303;
343;267;1630;3574;6170;7372;9124;11288;
698;317;1584;3528;6285;nan;9076;11244;
367;400;1444;3517;6367;nan;9084;11229;
464;368;1525;3510;5824;7310;9101;11216;
409;346;1464;3458;5749;nan;9040;11235;
692;389;1471;nan;nan;nan;9005;11193;
505;337;1443;3902;nan;7257;9006;11183;
679;375;1347;3746;5983;nan;8968;11156;
591;495;1379;3589;nan;nan;8942;11083;
477;444;1346;3603;5586;7182;8942;11080;
746;518;1327;3376;5539;7187;8896;11085;
693;606;1387;3787;5779;7140;8882;11056;
602;600;1302;3477;5590;7109;8833;11001;
581;639;1243;3490;5701;7146;8822;11023;
780;642;1177;3408;5627;7136;8806;10961;
591;684;1216;3307;5603;7064;8800;10952;
696;706;1173;3257;5714;7046;8784;10945;
665;715;1095;3286;5774;7028;8777;10911;
743;701;1136;3212;5457;7014;8748;10874;
715;765;1114;3299;5408;7019;8692;10846;
784;802;1004;3231;5512;7002;8708;10827;
770;711;1041;3160;5384;6971;8625;10850;
866;884;959;3139;5294;6930;8647;10773;
954;828;1032;3108;5072;6904;8651;10754;
860;819;1013;nan;5256;6922;8604;10732;
920;858;899;3120;5105;6911;8587;10732;
920;849;909;3177;4905;6870;8576;10707;
1105;848;1172;3173;4946;6817;8553;10672;
1090;925;814;3077;4910;6822;8462;10657;
1528;994;973;3018;4878;6846;8503;10664;
1030;1040;778;2981;4896;6802;8470;10581;
1030;953;nan;2937;4832;6711;8435;10583;
1021;981;732;2966;4814;6762;8379;10576;
1091;1084;772;2879;4858;6790;8368;10535;
1007;1089;781;2893;4821;6643;8351;10560;
1093;1034;699;2921;4839;6598;8329;10524;
nan;1086;776;2883;4808;nan;8302;10556;
1684;1125;638;2830;4817;nan;8285;10492;
1576;1168;658;2839;4748;6661;8230;10442;
1287;1156;684;2790;4775;6666;8279;10439;
1317;1222;613;2704;4666;6656;8175;10424;
1240;1192;623;2682;4695;6721;8159;10383;
1333;1301;537;2678;4748;6564;8164;10348;
1279;1351;487;2632;4659;6462;8146;10325;
1282;1311;559;2645;4593;6465;8063;10315;
1380;1273;465;2583;4620;6586;8110;10291;
1341;1270;508;2604;4553;6473;8038;10277;
1450;1356;459;2526;4588;6410;8037;10278;
1951;1320;447;2486;4481;6422;8013;10194;
2262;1392;447;2528;4400;6378;7971;10172;
1589;1909;269;2498;4419;6317;7995;10197;
1750;1584;322;2481;4448;6271;7921;10169;
1658;1403;314;2498;4411;6222;7917;10116;
1689;1496;325;2447;4371;6126;7880;10101;
1499;1752;238;2416;4343;nan;7928;10067;
1684;1644;272;2411;4344;6157;7873;10056;
1777;1646;229;2345;4286;6053;7808;10054;
1886;1686;184;2351;4222;6053;7853;10002;
1645;1684;138;2320;4197;6030;7809;9967;
1818;1712;125;2211;4203;6030;7776;9934;
1672;1740;180;2290;4178;5911;7753;9969;
2057;1740;112;2271;4201;5919;7739;9898;
1940;1762;93;2237;4151;5976;7705;9880;
1863;1782;87;2202;4163;5878;7711;nan;
2028;1803;69;2110;4101;5858;7685;9808;
1878;1776;58;2129;4119;5878;7699;9804;
2057;1861;43;2182;4038;5811;7627;9745;
2003;1869;35;2082;4077;5780;7555;9719;
2073;1987;51;2139;4025;5782;7579;9702;
2068;1992;58;2060;3930;5782;7565;9702;
nan;1996;109;2050;3898;5757;7501;9673;
2206;2032;65;1965;3936;5665;7517;9645;
2178;2038;79;1941;3920;5632;7478;9624;
2311;2063;126;1952;3882;5672;7511;9624;
2362;2207;10;1936;3911;5658;7332;9580;
2207;2160;132;1863;3911;5599;7389;9583;
2377;nan;118;1910;3871;5559;7392;9523;
3140;2274;130;1839;3885;5523;7383;9515;
2570;2280;288;1823;3846;5503;7324;9465;
nan;2241;297;1764;3829;5434;7310;9449;
2560;2224;336;1758;3661;5490;nan;9413;
2500;2320;399;1749;3693;5414;7236;9418;
2556;2284;753;1698;3720;5426;7191;9356;
2609;2299;401;1695;3852;5339;7153;9323;
2621;2336;654;1665;4091;5353;7119;9324;
3199;2393;424;1574;3870;5332;7078;9272;
2746;2372;773;1601;4168;5330;7132;9264;
2877;2450;586;1585;4168;5253;7053;9232;
2956;2443;569;1475;nan;5220;7050;9236;
2791;2484;666;1465;3529;5231;7036;9171;
2823;2454;587;1461;3760;5244;6957;9179;
3038;2546;624;1479;4065;5184;6982;9189;
2951;2533;784;1476;nan;5183;6977;9110;
nan;2571;695;1379;3816;5119;6950;9080;
3540;2549;724;1386;3692;5075;6901;9084;
nan;2606;931;1336;3476;5056;6865;9015;
nan;2631;665;1359;3391;5007;6888;9001;
2914;2680;785;1302;3431;5014;6880;8992;
nan;2677;865;1319;3524;4997;6808;8966;
3015;2712;976;1343;3602;4933;6871;8939;
3054;2787;1381;1174;3595;4955;6903;8917;
3117;2840;1085;1245;4209;4942;6959;8894;
nan;2823;877;1091;3362;4901;6674;8825;
nan;2869;1093;1087;3314;4814;7712;8811;
3229;2870;1185;1073;nan;4786;6662;8793;
2871;2947;1195;1048;3505;4753;6688;8769;
3324;2955;1317;1066;3252;4759;6632;8710;
3246;2956;1007;1036;3089;4711;6587;8641;
3349;2960;1419;970;3230;4732;6573;8654;
3236;3010;1264;947;3035;4649;6597;8663;
3120;3097;1475;860;3126;4659;6599;8632;
3326;3116;1283;862;2750;4681;7547;8649;
3342;3136;1221;916;2978;4667;6900;8564;
3346;3207;1256;844;2719;4558;7229;8596;
nan;3144;1341;848;2993;4562;7015;8468;
3372;3156;1251;668;2992;4511;6420;8518;
nan;3289;1227;657;2799;4477;6478;8413;
nan;3277;1317;748;2891;4440;6419;8440;
3369;3191;1515;732;2726;4433;6349;8383;
nan;3487;1429;666;2831;4351;6310;8367;
nan;3321;2060;668;2763;4325;6371;8395;
nan;3541;1641;638;2796;4330;6198;8306;
3729;3422;1407;619;2746;4316;6162;8348;
3577;3614;1520;513;2742;4219;6108;8308;
3894;3399;1450;496;2559;4241;6135;8320;
4296;3726;1519;524;2883;nan;6129;8272;
nan;3481;1607;434;2906;4217;6160;8228;
nan;3500;1582;516;nan;4162;6117;nan;
nan;3551;1647;401;2408;4194;6031;8191;
nan;3577;1585;501;2402;4190;5988;8192;
nan;3520;1779;417;2330;4098;6046;8182;
3758;3542;1825;479;2316;4059;5937;8149;
nan;3609;1830;398;2591;4127;5933;8156;
3783;3587;2099;304;2289;4052;5866;8198;
3898;3702;1817;155;2353;4048;5920;8091;
nan;3668;1809;240;2224;4003;nan;nan;
3854;3702;1834;176;2260;3933;5862;8104;
3958;3717;1831;208;2393;3961;nan;8142;
3904;3772;1860;268;2052;3889;nan;nan;
3835;3778;1947;275;2034;3854;nan;8202;
3959;3812;2006;154;2118;3831;5628;8078;
3980;3771;1978;108;2024;3807;nan;nan;
nan;3867;1974;181;2015;3795;5583;nan;
4163;3967;1984;126;2080;3844;5564;nan;
4160;3889;2022;7;1895;3766;5636;nan;
nan;3840;2025;56;nan;3739;5578;7818;
4108;3926;2117;93;1901;3762;5591;nan;
4255;3957;2102;97;2011;3808;5502;nan;
4206;4021;2091;134;1835;3734;5448;nan;
nan;4093;2240;47;1799;3689;5420;nan;
4249;4028;2326;110;1890;3702;5370;7802;
4126;4081;2306;138;1826;3655;5357;nan;
4127;4165;2292;162;1776;3721;5319;nan;
4223;4156;nan;190;1740;3618;5319;nan;
4217;4190;nan;198;1722;3634;5308;nan;
4178;4203;2476;213;2051;3601;5286;nan;
4241;4250;2409;259;1685;3573;5242;nan;
4178;4247;2469;335;1720;3635;5167;nan;
4241;4264;2422;300;nan;3427;5160;nan;
4318;4286;2487;330;1658;3473;5086;nan;
4341;4291;2496;267;1565;3385;5089;nan;
4382;4344;2551;390;1443;3340;5023;nan;
4369;4363;2520;633;1428;3290;5041;8990;
4452;4328;2593;505;1392;3221;5029;7469;
4455;4444;2636;496;1480;3234;5010;nan;
4489;4489;2570;492;1565;3230;5010;8834;
4515;4490;2705;588;1452;3180;4896;8290;
4570;4489;2682;595;1457;3198;4869;7168;
4585;4575;2701;646;1367;3099;4891;nan;
4629;nan;2724;578;1401;nan;4851;nan;
4630;4581;2741;706;1191;3067;4832;nan;
4698;4667;2746;691;1250;3118;4817;nan;
4712;4698;2796;761;1144;3050;4766;7110;
4681;4729;2783;760;1169;3028;4766;7337;
4703;4744;2864;789;1018;2978;4685;7549;
4743;4767;2896;871;1281;2961;4675;nan;
4731;4753;2978;884;1213;2927;4631;nan;
nan;4755;2980;876;1330;2882;4585;nan;
4833;4831;3006;906;1155;2860;4625;nan;
4863;4894;3066;931;1032;2839;4530;nan;
4905;4972;3099;902;1000;2787;4520;6726;
4909;4915;3166;1115;1146;2796;4524;6881;
4864;4940;3176;1041;1019;2718;4497;nan;
4896;5009;3226;1086;933;2694;4481;6633;
4950;5001;3174;1078;1208;2664;4427;6682;
5053;5084;3250;1094;1288;2604;4430;6641;
5096;5091;3290;1136;789;2577;4391;6639;
5114;5110;3252;1246;908;2641;4318;6587;
nan;5104;3382;1192;892;2579;4282;6569;
5139;5182;nan;1200;737;2547;4264;6465;
