nan;nan;nan;nan;nan;10819;10795;86;34;
nan;nan;nan;nan;nan;10814;10786;96;52;
nan;nan;nan;nan;nan;10801;10786;91;54;
nan;nan;nan;nan;nan;10804;10787;92;60;
nan;nan;nan;nan;nan;10813;10787;94;59;
nan;nan;nan;nan;nan;10823;10786;89;66;
nan;nan;nan;nan;nan;10833;10781;89;66;
nan;nan;nan;nan;nan;10843;10774;88;63;
nan;nan;nan;nan;nan;10853;10768;86;61;
nan;nan;nan;nan;nan;10850;10765;86;59;
nan;nan;nan;nan;nan;10886;10760;82;64;
nan;nan;nan;nan;nan;nan;10753;79;72;
nan;nan;nan;nan;nan;nan;10751;78;83;
nan;nan;31113;nan;nan;nan;10747;75;92;
nan;nan;nan;nan;nan;10932;10741;71;97;
nan;nan;nan;nan;nan;nan;10740;71;86;
nan;nan;nan;nan;nan;nan;10737;68;80;
nan;nan;nan;nan;nan;nan;10737;66;84;
nan;nan;nan;nan;nan;10997;10739;65;92;
nan;nan;nan;nan;nan;nan;10734;65;106;
nan;nan;nan;nan;nan;11031;10726;65;111;
nan;nan;nan;nan;nan;11064;10722;64;107;
nan;nan;nan;nan;nan;nan;10714;64;101;
nan;nan;nan;nan;nan;nan;10702;61;102;
nan;nan;nan;nan;nan;nan;10695;57;109;
nan;nan;nan;nan;nan;11080;10683;50;123;
nan;nan;nan;nan;nan;nan;10673;49;145;
nan;nan;nan;nan;nan;nan;10670;53;156;
nan;nan;31049;nan;nan;11103;10652;56;159;
nan;nan;31022;nan;nan;11110;10638;55;153;
nan;nan;30995;nan;nan;11120;10623;57;158;
nan;nan;30981;nan;nan;11145;10612;65;158;
nan;nan;30966;nan;nan;nan;10594;72;168;
nan;nan;30950;nan;nan;nan;10582;79;175;
nan;nan;30938;nan;nan;nan;10570;89;183;
nan;nan;nan;nan;nan;11140;10549;101;189;
nan;nan;30927;nan;nan;11126;10535;112;189;
nan;nan;30916;nan;nan;nan;10512;117;196;
nan;nan;30883;nan;nan;nan;10501;121;208;
nan;nan;30864;nan;nan;nan;10491;132;225;
nan;nan;30844;nan;nan;nan;10485;143;241;
nan;nan;30828;nan;nan;11077;10469;140;262;
nan;nan;30809;nan;nan;11066;10457;147;275;
nan;nan;30795;nan;nan;11041;10440;159;284;
nan;nan;30783;nan;nan;nan;10424;167;294;
nan;nan;nan;nan;nan;nan;10413;189;308;
nan;nan;nan;nan;nan;11010;10399;200;319;
nan;nan;nan;nan;nan;10976;10385;207;335;
nan;nan;nan;nan;nan;10946;10371;221;347;
nan;nan;nan;nan;nan;10913;10353;237;357;
nan;nan;nan;nan;nan;10863;10333;251;360;
nan;nan;nan;nan;nan;10820;10319;268;369;
nan;nan;nan;nan;nan;nan;10306;282;378;
nan;nan;nan;nan;nan;nan;10297;nan;389;
nan;nan;nan;nan;nan;nan;10288;294;407;
