1268;nan;nan;nan;nan;nan;nan;nan;nan;
1133;nan;nan;nan;nan;nan;nan;nan;nan;
1146;nan;nan;nan;nan;nan;nan;nan;nan;
1027;7691;nan;nan;nan;nan;nan;nan;nan;
1025;nan;9758;12258;nan;17711;nan;nan;nan;
895;7169;nan;12189;nan;17612;nan;nan;nan;
765;7086;nan;12053;nan;17548;nan;nan;nan;
713;6920;9566;12045;nan;17484;nan;nan;nan;
652;6886;9465;11964;nan;17396;nan;nan;nan;
621;6817;9342;11889;nan;17359;nan;20992;nan;
538;nan;9296;11783;nan;17254;nan;nan;nan;
412;6697;9225;11702;nan;17203;nan;nan;nan;
418;6564;nan;11641;nan;17060;nan;nan;nan;
310;6462;8923;11500;nan;16963;nan;nan;nan;
268;6360;8878;11438;nan;16872;nan;nan;nan;
291;6277;8825;11312;nan;16750;nan;20406;nan;
317;6169;8792;11183;nan;16674;nan;20340;nan;
372;6095;nan;11115;nan;16557;nan;nan;nan;
445;5956;8514;11028;nan;16447;nan;nan;nan;
603;5925;8417;10915;nan;16328;nan;nan;nan;
629;nan;nan;10798;nan;16268;nan;nan;nan;
759;5747;8201;10672;nan;16155;nan;19811;nan;
837;5615;nan;10562;nan;15996;nan;nan;nan;
883;5449;8124;10461;nan;15921;nan;nan;nan;
968;5353;nan;10395;nan;15824;nan;nan;nan;
1078;5219;7840;10271;nan;15692;nan;nan;nan;
1169;5091;nan;10187;nan;15603;nan;nan;nan;
1341;4979;nan;10076;nan;15485;nan;nan;nan;
1542;4928;nan;9982;nan;15406;nan;nan;nan;
1597;4805;nan;9866;nan;15280;nan;nan;nan;
1644;4700;7705;9756;nan;15185;nan;nan;nan;
1946;4570;7195;9694;nan;15035;nan;18740;nan;
2859;4501;7126;9561;nan;14929;nan;18618;nan;
1849;4350;nan;9445;nan;14857;nan;18600;nan;
1906;4246;8303;9350;nan;14740;16845;18332;nan;
2096;4126;6925;9205;nan;14633;16690;18337;nan;
2607;4048;6778;9117;nan;14495;16590;18184;nan;
2266;3913;nan;8989;nan;14412;16458;18039;nan;
2453;3788;6547;8870;nan;14326;16334;17966;nan;
2693;3669;6297;8772;nan;14183;16186;17829;nan;
2705;3605;6161;8648;nan;14024;16071;17724;nan;
2836;3445;6084;8564;nan;13934;15981;17633;nan;
2980;3409;5893;8404;nan;13804;15794;17481;nan;
3031;3244;5767;8326;nan;13701;15742;17340;nan;
3404;3120;5700;8207;nan;13597;15588;17217;nan;
3483;3063;5589;8078;nan;13489;15502;17120;nan;
3552;2893;5435;7978;nan;13310;15329;16988;nan;
3601;2714;5418;7840;11446;13228;15234;16910;19264;
3720;2650;5251;7778;nan;13155;15191;16794;19182;
3778;2523;5047;7645;nan;13041;15035;16699;18963;
3898;2398;4977;7519;nan;12972;14960;16562;18880;
4003;2336;4857;7460;10970;12844;14852;16448;18827;
4071;2225;4785;7342;10886;12725;14697;16390;18615;
4252;2109;4658;7227;10773;12642;14564;16247;18579;
4319;2033;4528;7058;10667;12475;nan;16137;18409;
4433;1862;4473;6970;10555;12370;nan;16011;18299;
4591;1704;4329;6820;10383;12249;14173;15876;18163;
4717;1568;4179;6648;10225;12085;13969;15729;18011;
4867;1484;4071;6568;10118;11951;13955;15621;17913;
